                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6782,                 1.3146,                0.97327,                 0.5715,                 0.4699,                0.50046,                0.33967,                 1.6466,                 1.2469,                0.97598,             0.00049195,             0.00049195,             0.00049195
                     36,                 1.6798,                 1.3035,                0.96779,                0.55987,                0.49605,                0.52722,                0.35762,                 1.6296,                 1.2594,                 0.9753,             0.00048904,             0.00048904,             0.00048904
                     37,                 1.6522,                 1.2599,                0.96462,                0.55022,                0.49979,                0.52719,                 0.3524,                 1.6204,                 1.2379,                0.97365,             0.00048613,             0.00048613,             0.00048613
                     38,                  1.675,                 1.2745,                0.96542,                0.56402,                0.48331,                0.52475,                0.35174,                 1.6508,                 1.2567,                0.97492,             0.00048322,             0.00048322,             0.00048322
                     39,                 1.6931,                 1.3013,                 0.9713,                0.63883,                0.46253,                0.52965,                0.36351,                  1.607,                  1.206,                0.96569,             0.00048031,             0.00048031,             0.00048031
                     40,                  1.673,                 1.2828,                0.96772,                0.58301,                0.52207,                 0.5467,                0.37411,                 1.6019,                 1.1855,                0.96796,              0.0004774,              0.0004774,              0.0004774
                     41,                  1.673,                 1.2646,                0.96674,                0.56413,                0.51485,                0.55251,                0.36655,                 1.6535,                 1.2025,                0.97485,             0.00047449,             0.00047449,             0.00047449
                     42,                 1.6622,                 1.2616,                0.95628,                0.64626,                0.48329,                0.54955,                0.38534,                 1.6047,                 1.1818,                0.96886,             0.00047158,             0.00047158,             0.00047158
                     43,                 1.6475,                 1.2389,                0.95883,                0.52637,                0.54514,                0.55772,                 0.3761,                 1.6306,                 1.1907,                0.96931,             0.00046867,             0.00046867,             0.00046867
                     44,                 1.6925,                 1.2585,                0.96785,                0.58912,                0.56151,                0.58192,                0.40179,                 1.5882,                 1.1648,                0.96346,             0.00046575,             0.00046575,             0.00046575
                     45,                 1.6433,                 1.2079,                0.95546,                0.59945,                0.54051,                 0.5728,                0.39208,                 1.5859,                 1.1648,                0.96164,             0.00046284,             0.00046284,             0.00046284
                     46,                 1.6409,                 1.2172,                0.95707,                0.65769,                0.51123,                0.57206,                0.38693,                 1.5948,                 1.1713,                0.96078,             0.00045993,             0.00045993,             0.00045993
                     47,                 1.6512,                 1.2203,                0.95828,                0.64131,                0.55772,                0.58898,                0.40599,                 1.5669,                 1.1459,                0.95895,             0.00045702,             0.00045702,             0.00045702
                     48,                 1.5926,                 1.1851,                 0.9521,                0.67088,                0.52268,                0.57337,                0.38724,                 1.6281,                  1.162,                  0.968,             0.00045411,             0.00045411,             0.00045411
                     49,                 1.6489,                 1.2012,                0.95191,                0.72071,                0.52041,                0.59471,                0.40892,                 1.5864,                 1.1324,                0.95933,              0.0004512,              0.0004512,              0.0004512
                     50,                 1.6403,                 1.2117,                0.95852,                0.65406,                0.55066,                0.58339,                0.40453,                 1.5878,                 1.1555,                0.96616,             0.00044829,             0.00044829,             0.00044829
                     51,                 1.6235,                 1.1759,                0.95889,                0.71797,                 0.5127,                0.59776,                0.39249,                 1.6423,                 1.1459,                 0.9709,             0.00044538,             0.00044538,             0.00044538
                     52,                 1.6368,                 1.1764,                0.95154,                0.68222,                0.55903,                0.61287,                0.42412,                 1.5635,                 1.1134,                0.95779,             0.00044247,             0.00044247,             0.00044247
                     53,                 1.6516,                 1.1834,                0.95958,                0.69197,                0.56061,                0.61051,                0.42239,                 1.5756,                 1.1124,                0.96066,             0.00043956,             0.00043956,             0.00043956
                     54,                 1.6367,                 1.1744,                 0.9514,                0.69547,                0.53867,                0.59735,                0.41174,                 1.5694,                 1.1338,                0.95695,             0.00043665,             0.00043665,             0.00043665
                     55,                 1.5898,                 1.1537,                0.95012,                0.69206,                 0.5398,                0.59932,                0.40011,                 1.6459,                 1.1386,                0.96955,             0.00043374,             0.00043374,             0.00043374
                     56,                 1.5801,                 1.1484,                0.94723,                0.66759,                0.55937,                0.61425,                0.42292,                 1.5581,                 1.1089,                0.95435,             0.00043083,             0.00043083,             0.00043083
                     57,                 1.5971,                 1.1488,                0.94704,                0.69693,                0.56372,                0.62502,                0.41801,                 1.5928,                   1.14,                0.96796,             0.00042792,             0.00042792,             0.00042792
                     58,                  1.598,                 1.1546,                0.95149,                0.70811,                0.59204,                 0.6367,                0.44353,                 1.5494,                 1.0916,                0.95528,             0.00042501,             0.00042501,             0.00042501
                     59,                 1.5818,                 1.1359,                 0.9474,                0.76354,                0.54545,                0.62578,                0.42856,                  1.556,                  1.111,                0.95415,              0.0004221,              0.0004221,              0.0004221
                     60,                 1.5782,                 1.1265,                0.93901,                0.72886,                0.58501,                0.63651,                0.43495,                 1.5753,                 1.0705,                0.95358,             0.00041919,             0.00041919,             0.00041919
                     61,                 1.5981,                 1.1413,                 0.9454,                0.63536,                0.56448,                0.61285,                0.42041,                 1.5449,                  1.096,                0.95142,             0.00041627,             0.00041627,             0.00041627
                     62,                 1.5838,                 1.1335,                0.94411,                0.73544,                0.55797,                   0.62,                 0.4257,                 1.5512,                 1.1018,                0.94892,             0.00041336,             0.00041336,             0.00041336
                     63,                 1.5879,                 1.1242,                 0.9398,                0.73386,                0.56707,                0.63157,                0.43476,                 1.5575,                 1.0575,                0.95306,             0.00041045,             0.00041045,             0.00041045
                     64,                 1.5584,                 1.1075,                0.94112,                0.70713,                0.60473,                0.64549,                0.45211,                 1.5462,                  1.062,                0.94862,             0.00040754,             0.00040754,             0.00040754
                     65,                  1.584,                 1.1159,                0.94416,                 0.7202,                0.56856,                0.64475,                0.45102,                 1.5467,                 1.0648,                0.95191,             0.00040463,             0.00040463,             0.00040463
                     66,                 1.5576,                 1.0966,                0.93561,                  0.723,                 0.5937,                0.65614,                0.45894,                 1.5349,                   1.05,                0.95031,             0.00040172,             0.00040172,             0.00040172
                     67,                  1.558,                  1.102,                0.93918,                0.75377,                0.58984,                0.66364,                0.46626,                 1.5389,                 1.0555,                0.94679,             0.00039881,             0.00039881,             0.00039881
                     68,                  1.573,                 1.1023,                0.93868,                 0.7357,                0.60345,                0.65419,                0.45545,                 1.5356,                 1.0541,                0.94845,              0.0003959,              0.0003959,              0.0003959
                     69,                  1.545,                 1.0822,                0.94127,                0.75179,                0.61154,                 0.6724,                 0.4723,                 1.5289,                 1.0217,                0.94535,             0.00039299,             0.00039299,             0.00039299
                     70,                 1.5618,                 1.0766,                0.93712,                0.70654,                0.61701,                0.65818,                0.46409,                 1.5151,                 1.0544,                 0.9459,             0.00039008,             0.00039008,             0.00039008
                     71,                 1.5484,                 1.0789,                0.93333,                0.71232,                0.61571,                 0.6581,                0.45741,                 1.5413,                 1.0411,                0.94822,             0.00038717,             0.00038717,             0.00038717
                     72,                 1.5353,                 1.0781,                0.93628,                0.72937,                0.58992,                0.64752,                0.45393,                 1.5301,                 1.0351,                0.94733,             0.00038426,             0.00038426,             0.00038426
                     73,                 1.5379,                  1.077,                0.93572,                0.79458,                0.60559,                0.67682,                0.47452,                 1.5099,                 1.0192,                0.94291,             0.00038135,             0.00038135,             0.00038135
                     74,                 1.5418,                 1.0748,                0.93176,                 0.7392,                0.62465,                0.67863,                0.47523,                 1.5153,                 1.0215,                0.94646,             0.00037844,             0.00037844,             0.00037844
                     75,                 1.5552,                 1.0704,                 0.9331,                0.76907,                0.59651,                0.65294,                 0.4542,                 1.5268,                 1.0236,                0.94503,             0.00037553,             0.00037553,             0.00037553
                     76,                 1.5202,                 1.0404,                0.93099,                0.75376,                0.62192,                0.67218,                0.47312,                 1.5208,                 1.0014,                0.94169,             0.00037262,             0.00037262,             0.00037262
                     77,                  1.497,                 1.0369,                0.93024,                 0.7643,                0.60927,                0.67531,                0.47337,                 1.5057,                 1.0177,                0.94396,             0.00036971,             0.00036971,             0.00036971
                     78,                 1.5422,                 1.0566,                0.93343,                0.80222,                0.58658,                0.67365,                 0.4635,                 1.5249,                  1.043,                0.94662,             0.00036679,             0.00036679,             0.00036679
                     79,                 1.5114,                 1.0438,                0.92767,                0.78734,                0.59732,                0.67625,                0.46929,                 1.5009,                 1.0072,                0.94217,             0.00036388,             0.00036388,             0.00036388
